text,label,evidence_link,evidence_note
Government announces new scholarship program for students,0,https://www.education.gov.in,Official government education announcement
A new hospital was opened in the city providing free care,0,https://www.thehindu.com,Verified news published in Indian national newspaper
The Indian cricket team won the World Cup finals,0,https://www.icc-cricket.com,Official ICC cricket news
Schools will reopen on Monday after winter holiday,0,https://www.hindustantimes.com,Confirmed by national newspaper
A solar power plant has been built to support rural villages,0,https://pib.gov.in,Published by Press Information Bureau of India
Microsoft releases new AI-powered software update,0,https://blogs.microsoft.com,Official Microsoft announcement
New bridge connecting metro stations inaugurated by officials,0,https://timesofindia.indiatimes.com,Reported by Times of India
Supreme Court issues new guidelines on road safety,0,https://www.thehindu.com,Verified legal news
ISRO successfully launches communication satellite,0,https://www.isro.gov.in,Official ISRO website confirmation
Government increases minimum support price for farmers,0,https://pib.gov.in,Government press release
India records highest digital payment transactions this year,0,https://www.rbi.org.in,Data published by RBI
WHO approves new vaccine for global use,0,https://www.who.int,World Health Organization announcement
Indian Railways introduces new Vande Bharat train route,0,https://indianrailways.gov.in,Official Indian Railways update
Election Commission announces polling dates for state elections,0,https://eci.gov.in,Official Election Commission notice
New IIT campus inaugurated by Prime Minister,0,https://pib.gov.in,Government inauguration announcement
Apple launches new iPhone model globally,0,https://www.apple.com/newsroom,Official Apple Newsroom
NASA successfully tests Mars rover technology,0,https://www.nasa.gov,Official NASA report
UN releases report on climate change impact,0,https://www.un.org,United Nations official report
RBI keeps repo rate unchanged in monetary policy review,0,https://www.rbi.org.in,RBI official monetary policy statement
Indian economy grows by 7 percent this quarter,0,https://www.mospi.gov.in,Government economic statistics
New education policy implemented across states,0,https://www.education.gov.in,Ministry of Education update
Delhi Metro launches contactless ticketing system,0,https://www.delhimetrorail.com,Official DMRC announcement
Supreme Court allows online hearings to continue,0,https://main.sci.gov.in,Official Supreme Court information
Indian Navy commissions new warship into service,0,https://www.indiannavy.nic.in,Indian Navy official website
National health mission launches new vaccination drive,0,https://nhm.gov.in,Government health mission update
NASA confirmed the world will end tomorrow afternoon,1,https://www.snopes.com/fact-check,Debunked doomsday claim
Newborn babies can now speak fluently from birth,1,https://www.snopes.com/fact-check,Scientifically impossible claim
Aliens have secretly replaced world leaders,1,https://www.factcheck.org,Conspiracy theory proven false
Facebook will shut down permanently next week,1,https://www.bbc.com/news,False viral rumor denied
Scientists discovered medicine that makes humans live forever,1,https://www.snopes.com,No scientific evidence exists
Time travel machine successfully tested in India,1,https://www.snopes.com,Fictional claim
Drinking coffee cures all types of cancer,1,https://www.who.int,Medical misinformation debunked
Man travelled to past and met dinosaurs,1,https://www.factcheck.org,Impossible event
Earth will stop rotating for five seconds tomorrow,1,https://www.nasa.gov,Claim denied by NASA
Mobile phones can cook food without electricity,1,https://www.snopes.com,Fake viral technology claim
Government bans oxygen for public use,1,https://www.pib.gov.in,False government rumor
ATM machines will start giving free money tonight,1,https://www.rbi.org.in,Banking misinformation
Humans can survive without sleep permanently,1,https://www.healthline.com,Scientifically false claim
Scientists confirm humans can grow wings,1,https://www.factcheck.org,Fake biological claim
Aliens will land in Delhi tomorrow morning,1,https://www.snopes.com,No evidence â€“ fake news
Eating one apple grants immortality,1,https://www.healthline.com,Myth debunked
India will remove internet permanently next month,1,https://www.pib.gov.in,False viral news
Sun will not rise tomorrow due to blackout,1,https://www.nasa.gov,Astronomically impossible
Humans only need water once a month to live,1,https://www.who.int,Health misinformation
Scientists created invisible humans successfully,1,https://www.factcheck.org,Science fiction claim
World governments hiding proof of flat earth,1,https://www.britannica.com,Debunked conspiracy
People can breathe underwater naturally,1,https://www.snopes.com,False biological claim
Government declares currency notes will disappear overnight,1,https://www.rbi.org.in,False economic rumor
Brain chip gives instant superpowers,1,https://www.bbc.com/news,Exaggerated false claim
Moon will crash into Earth next week,1,https://www.nasa.gov,Fake astronomy news
